supertype_color,class_color,class_label,subclass_color,subclass_label,supertype_label,value,class_bigwig,subclass_bigwig,supertype_bigwig
#CC1FC8,#FF6600,CNU-HYa Glut,#660F5A,MEA-COA-BMA Ccdc42 Glut,MEA-COA-BMA Ccdc42 Glut_1,1,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/class_label_conservative/CNU_HYa_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/subclass_label_conservative/MEA_COA_BMA_Ccdc42_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/supertype_label_conservative/MEA_COA_BMA_Ccdc42_Glut_1.bw
#7F9917,#FF6600,CNU-HYa Glut,#660F5A,MEA-COA-BMA Ccdc42 Glut,MEA-COA-BMA Ccdc42 Glut_2,1,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/class_label_conservative/CNU_HYa_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/subclass_label_conservative/MEA_COA_BMA_Ccdc42_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/supertype_label_conservative/MEA_COA_BMA_Ccdc42_Glut_2.bw
#FF26D1,#FF6600,CNU-HYa Glut,#660F5A,MEA-COA-BMA Ccdc42 Glut,MEA-COA-BMA Ccdc42 Glut_3,1,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/class_label_conservative/CNU_HYa_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/subclass_label_conservative/MEA_COA_BMA_Ccdc42_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/supertype_label_conservative/MEA_COA_BMA_Ccdc42_Glut_3.bw
#BDFF99,#FF6600,CNU-HYa Glut,#660F5A,MEA-COA-BMA Ccdc42 Glut,MEA-COA-BMA Ccdc42 Glut_4,1,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/class_label_conservative/CNU_HYa_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/subclass_label_conservative/MEA_COA_BMA_Ccdc42_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/supertype_label_conservative/MEA_COA_BMA_Ccdc42_Glut_4.bw
#0059FF,#FF6600,CNU-HYa Glut,#EDFF99,COAa-PAA-MEA Barhl2 Glut,COAa-PAA-MEA Barhl2 Glut_1,1,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/class_label_conservative/CNU_HYa_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/subclass_label_conservative/COAa_PAA_MEA_Barhl2_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/supertype_label_conservative/COAa_PAA_MEA_Barhl2_Glut_1.bw
#992417,#FF6600,CNU-HYa Glut,#EDFF99,COAa-PAA-MEA Barhl2 Glut,COAa-PAA-MEA Barhl2 Glut_2,1,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/class_label_conservative/CNU_HYa_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/subclass_label_conservative/COAa_PAA_MEA_Barhl2_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/supertype_label_conservative/COAa_PAA_MEA_Barhl2_Glut_2.bw
#3B992E,#FF6600,CNU-HYa Glut,#EDFF99,COAa-PAA-MEA Barhl2 Glut,COAa-PAA-MEA Barhl2 Glut_3,1,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/class_label_conservative/CNU_HYa_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/subclass_label_conservative/COAa_PAA_MEA_Barhl2_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/supertype_label_conservative/COAa_PAA_MEA_Barhl2_Glut_3.bw
#FF4D9A,#FF6600,CNU-HYa Glut,#EDFF99,COAa-PAA-MEA Barhl2 Glut,COAa-PAA-MEA Barhl2 Glut_4,1,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/class_label_conservative/CNU_HYa_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/subclass_label_conservative/COAa_PAA_MEA_Barhl2_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/supertype_label_conservative/COAa_PAA_MEA_Barhl2_Glut_4.bw
#663E2E,#FF6600,CNU-HYa Glut,#EDFF99,COAa-PAA-MEA Barhl2 Glut,COAa-PAA-MEA Barhl2 Glut_5,1,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/class_label_conservative/CNU_HYa_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/subclass_label_conservative/COAa_PAA_MEA_Barhl2_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/supertype_label_conservative/COAa_PAA_MEA_Barhl2_Glut_5.bw
#7973FF,#FF6600,CNU-HYa Glut,#EDFF99,COAa-PAA-MEA Barhl2 Glut,COAa-PAA-MEA Barhl2 Glut_6,1,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/class_label_conservative/CNU_HYa_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/subclass_label_conservative/COAa_PAA_MEA_Barhl2_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/supertype_label_conservative/COAa_PAA_MEA_Barhl2_Glut_6.bw
#CCC83D,#FF6600,CNU-HYa Glut,#EDFF99,COAa-PAA-MEA Barhl2 Glut,COAa-PAA-MEA Barhl2 Glut_7,1,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/class_label_conservative/CNU_HYa_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/subclass_label_conservative/COAa_PAA_MEA_Barhl2_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/supertype_label_conservative/COAa_PAA_MEA_Barhl2_Glut_7.bw
#7ACC9F,#FF6600,CNU-HYa Glut,#EDFF99,COAa-PAA-MEA Barhl2 Glut,COAa-PAA-MEA Barhl2 Glut_8,1,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/class_label_conservative/CNU_HYa_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/subclass_label_conservative/COAa_PAA_MEA_Barhl2_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/supertype_label_conservative/COAa_PAA_MEA_Barhl2_Glut_8.bw
#CBCC7A,#FF6600,CNU-HYa Glut,#EDFF99,COAa-PAA-MEA Barhl2 Glut,COAa-PAA-MEA Barhl2 Glut_9,1,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/class_label_conservative/CNU_HYa_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/subclass_label_conservative/COAa_PAA_MEA_Barhl2_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/supertype_label_conservative/COAa_PAA_MEA_Barhl2_Glut_9.bw
#CC5C62,#FF6600,CNU-HYa Glut,#1F6641,MS-SF Bsx Glut,MS-SF Bsx Glut_1,1,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/class_label_conservative/CNU_HYa_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/subclass_label_conservative/MS_SF_Bsx_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/supertype_label_conservative/MS_SF_Bsx_Glut_1.bw
#663D4A,#FF6600,CNU-HYa Glut,#1100CC,AVPV-MEPO-SFO Tbr1 Glut,AVPV-MEPO-SFO Tbr1 Glut_1,1,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/class_label_conservative/CNU_HYa_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/subclass_label_conservative/AVPV_MEPO_SFO_Tbr1_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/supertype_label_conservative/AVPV_MEPO_SFO_Tbr1_Glut_1.bw
#CC3D97,#FF6600,CNU-HYa Glut,#1100CC,AVPV-MEPO-SFO Tbr1 Glut,AVPV-MEPO-SFO Tbr1 Glut_2,1,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/class_label_conservative/CNU_HYa_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/subclass_label_conservative/AVPV_MEPO_SFO_Tbr1_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/supertype_label_conservative/AVPV_MEPO_SFO_Tbr1_Glut_2.bw
#0200CC,#FF6600,CNU-HYa Glut,#1100CC,AVPV-MEPO-SFO Tbr1 Glut,AVPV-MEPO-SFO Tbr1 Glut_3,1,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/class_label_conservative/CNU_HYa_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/subclass_label_conservative/AVPV_MEPO_SFO_Tbr1_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/supertype_label_conservative/AVPV_MEPO_SFO_Tbr1_Glut_3.bw
#99173D,#FF6600,CNU-HYa Glut,#1100CC,AVPV-MEPO-SFO Tbr1 Glut,AVPV-MEPO-SFO Tbr1 Glut_4,1,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/class_label_conservative/CNU_HYa_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/subclass_label_conservative/AVPV_MEPO_SFO_Tbr1_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/supertype_label_conservative/AVPV_MEPO_SFO_Tbr1_Glut_4.bw
#2E4C66,#FF6600,CNU-HYa Glut,#1100CC,AVPV-MEPO-SFO Tbr1 Glut,AVPV-MEPO-SFO Tbr1 Glut_5,1,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/class_label_conservative/CNU_HYa_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/subclass_label_conservative/AVPV_MEPO_SFO_Tbr1_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/supertype_label_conservative/AVPV_MEPO_SFO_Tbr1_Glut_5.bw
#5C661F,#FF6600,CNU-HYa Glut,#5C9995,LHA Barhl2 Glut,LHA Barhl2 Glut_1,1,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/class_label_conservative/CNU_HYa_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/subclass_label_conservative/LHA_Barhl2_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/supertype_label_conservative/LHA_Barhl2_Glut_1.bw
#CC3DB6,#FF6600,CNU-HYa Glut,#5C9995,LHA Barhl2 Glut,LHA Barhl2 Glut_2,1,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/class_label_conservative/CNU_HYa_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/subclass_label_conservative/LHA_Barhl2_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/supertype_label_conservative/LHA_Barhl2_Glut_2.bw
#B500CC,#FF6600,CNU-HYa Glut,#5C9995,LHA Barhl2 Glut,LHA Barhl2 Glut_3,1,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/class_label_conservative/CNU_HYa_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/subclass_label_conservative/LHA_Barhl2_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/supertype_label_conservative/LHA_Barhl2_Glut_3.bw
#8C5C99,#FF6600,CNU-HYa Glut,#00CC6A,ADP-MPO Trp73 Glut,ADP-MPO Trp73 Glut_1,1,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/class_label_conservative/CNU_HYa_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/subclass_label_conservative/ADP_MPO_Trp73_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/supertype_label_conservative/ADP_MPO_Trp73_Glut_1.bw
#CC5CB8,#FF6600,CNU-HYa Glut,#00CC6A,ADP-MPO Trp73 Glut,ADP-MPO Trp73 Glut_2,1,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/class_label_conservative/CNU_HYa_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/subclass_label_conservative/ADP_MPO_Trp73_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/supertype_label_conservative/ADP_MPO_Trp73_Glut_2.bw
#FF005E,#FF6600,CNU-HYa Glut,#00CC6A,ADP-MPO Trp73 Glut,ADP-MPO Trp73 Glut_3,1,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/class_label_conservative/CNU_HYa_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/subclass_label_conservative/ADP_MPO_Trp73_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/supertype_label_conservative/ADP_MPO_Trp73_Glut_3.bw
#1D0066,#FF6600,CNU-HYa Glut,#352E66,SI-MA-LPO-LHA Skor1 Glut,SI-MA-LPO-LHA Skor1 Glut_1,1,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/class_label_conservative/CNU_HYa_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/subclass_label_conservative/SI_MA_LPO_LHA_Skor1_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/supertype_label_conservative/SI_MA_LPO_LHA_Skor1_Glut_1.bw
#17995A,#FF6600,CNU-HYa Glut,#352E66,SI-MA-LPO-LHA Skor1 Glut,SI-MA-LPO-LHA Skor1 Glut_2,1,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/class_label_conservative/CNU_HYa_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/subclass_label_conservative/SI_MA_LPO_LHA_Skor1_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/supertype_label_conservative/SI_MA_LPO_LHA_Skor1_Glut_2.bw
#0F5466,#FF6600,CNU-HYa Glut,#352E66,SI-MA-LPO-LHA Skor1 Glut,SI-MA-LPO-LHA Skor1 Glut_3,1,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/class_label_conservative/CNU_HYa_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/subclass_label_conservative/SI_MA_LPO_LHA_Skor1_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/supertype_label_conservative/SI_MA_LPO_LHA_Skor1_Glut_3.bw
#FF4DE9,#FF6600,CNU-HYa Glut,#352E66,SI-MA-LPO-LHA Skor1 Glut,SI-MA-LPO-LHA Skor1 Glut_4,1,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/class_label_conservative/CNU_HYa_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/subclass_label_conservative/SI_MA_LPO_LHA_Skor1_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/supertype_label_conservative/SI_MA_LPO_LHA_Skor1_Glut_4.bw
#FFBB99,#FF6600,CNU-HYa Glut,#352E66,SI-MA-LPO-LHA Skor1 Glut,SI-MA-LPO-LHA Skor1 Glut_5,1,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/class_label_conservative/CNU_HYa_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/subclass_label_conservative/SI_MA_LPO_LHA_Skor1_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/supertype_label_conservative/SI_MA_LPO_LHA_Skor1_Glut_5.bw
#99B4FF,#FF6600,CNU-HYa Glut,#352E66,SI-MA-LPO-LHA Skor1 Glut,SI-MA-LPO-LHA Skor1 Glut_6,1,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/class_label_conservative/CNU_HYa_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/subclass_label_conservative/SI_MA_LPO_LHA_Skor1_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/supertype_label_conservative/SI_MA_LPO_LHA_Skor1_Glut_6.bw
#CCA93D,#FF6600,CNU-HYa Glut,#352E66,SI-MA-LPO-LHA Skor1 Glut,SI-MA-LPO-LHA Skor1 Glut_7,1,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/class_label_conservative/CNU_HYa_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/subclass_label_conservative/SI_MA_LPO_LHA_Skor1_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/supertype_label_conservative/SI_MA_LPO_LHA_Skor1_Glut_7.bw
#5C660F,#FF6600,CNU-HYa Glut,#352E66,SI-MA-LPO-LHA Skor1 Glut,SI-MA-LPO-LHA Skor1 Glut_8,1,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/class_label_conservative/CNU_HYa_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/subclass_label_conservative/SI_MA_LPO_LHA_Skor1_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/supertype_label_conservative/SI_MA_LPO_LHA_Skor1_Glut_8.bw
#459099,#FF6600,CNU-HYa Glut,#1FCCCA,LHA-MEA Otp Glut,LHA-MEA Otp Glut_1,1,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/class_label_conservative/CNU_HYa_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/subclass_label_conservative/LHA_MEA_Otp_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/supertype_label_conservative/LHA_MEA_Otp_Glut_1.bw
#997A17,#FF6600,CNU-HYa Glut,#1FCCCA,LHA-MEA Otp Glut,LHA-MEA Otp Glut_2,1,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/class_label_conservative/CNU_HYa_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/subclass_label_conservative/LHA_MEA_Otp_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/supertype_label_conservative/LHA_MEA_Otp_Glut_2.bw
#947ACC,#90E0EF,HY Glut,#FF73C8,DMH Nkx2-4 Glut,DMH Nkx2-4 Glut_1,1,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/class_label_conservative/HY_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/subclass_label_conservative/DMH_Nkx2_4_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/supertype_label_conservative/DMH_Nkx2_4_Glut_1.bw
#FF0026,#90E0EF,HY Glut,#FF73C8,DMH Nkx2-4 Glut,DMH Nkx2-4 Glut_2,1,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/class_label_conservative/HY_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/subclass_label_conservative/DMH_Nkx2_4_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/supertype_label_conservative/DMH_Nkx2_4_Glut_2.bw
#7ACCC3,#90E0EF,HY Glut,#CC1F92,MPN-MPO-PVpo Hmx2 Glut,MPN-MPO-PVpo Hmx2 Glut_1,1,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/class_label_conservative/HY_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/subclass_label_conservative/MPN_MPO_PVpo_Hmx2_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/supertype_label_conservative/MPN_MPO_PVpo_Hmx2_Glut_1.bw
#FF262A,#90E0EF,HY Glut,#CC1F92,MPN-MPO-PVpo Hmx2 Glut,MPN-MPO-PVpo Hmx2 Glut_2,1,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/class_label_conservative/HY_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/subclass_label_conservative/MPN_MPO_PVpo_Hmx2_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/supertype_label_conservative/MPN_MPO_PVpo_Hmx2_Glut_2.bw
#CC009F,#90E0EF,HY Glut,#CC1F92,MPN-MPO-PVpo Hmx2 Glut,MPN-MPO-PVpo Hmx2 Glut_3,1,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/class_label_conservative/HY_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/subclass_label_conservative/MPN_MPO_PVpo_Hmx2_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/supertype_label_conservative/MPN_MPO_PVpo_Hmx2_Glut_3.bw
#00662A,#90E0EF,HY Glut,#CC1F92,MPN-MPO-PVpo Hmx2 Glut,MPN-MPO-PVpo Hmx2 Glut_4,1,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/class_label_conservative/HY_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/subclass_label_conservative/MPN_MPO_PVpo_Hmx2_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/supertype_label_conservative/MPN_MPO_PVpo_Hmx2_Glut_4.bw
#5A0F66,#90E0EF,HY Glut,#CC1F92,MPN-MPO-PVpo Hmx2 Glut,MPN-MPO-PVpo Hmx2 Glut_5,1,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/class_label_conservative/HY_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/subclass_label_conservative/MPN_MPO_PVpo_Hmx2_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/supertype_label_conservative/MPN_MPO_PVpo_Hmx2_Glut_5.bw
#FF8F26,#90E0EF,HY Glut,#CC1F92,MPN-MPO-PVpo Hmx2 Glut,MPN-MPO-PVpo Hmx2 Glut_6,1,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/class_label_conservative/HY_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/subclass_label_conservative/MPN_MPO_PVpo_Hmx2_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/supertype_label_conservative/MPN_MPO_PVpo_Hmx2_Glut_6.bw
#454F99,#90E0EF,HY Glut,#2F6600,DMH Hmx2 Glut,DMH Hmx2 Glut_1,1,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/class_label_conservative/HY_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/subclass_label_conservative/DMH_Hmx2_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/supertype_label_conservative/DMH_Hmx2_Glut_1.bw
#001066,#90E0EF,HY Glut,#2F6600,DMH Hmx2 Glut,DMH Hmx2 Glut_2,1,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/class_label_conservative/HY_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/subclass_label_conservative/DMH_Hmx2_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/supertype_label_conservative/DMH_Hmx2_Glut_2.bw
#FF00EA,#90E0EF,HY Glut,#CC4B1F,ARH-PVp Tbx3 Glut,ARH-PVp Tbx3 Glut_1,1,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/class_label_conservative/HY_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/subclass_label_conservative/ARH_PVp_Tbx3_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/supertype_label_conservative/ARH_PVp_Tbx3_Glut_1.bw
#75CC1F,#90E0EF,HY Glut,#CC4B1F,ARH-PVp Tbx3 Glut,ARH-PVp Tbx3 Glut_2,1,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/class_label_conservative/HY_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/subclass_label_conservative/ARH_PVp_Tbx3_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/supertype_label_conservative/ARH_PVp_Tbx3_Glut_2.bw
